Group,Subject,EEG Band,Lemon Power,Rose Power,Difference (Rose - Lemon)
MCI,1,Gamma (30–40 Hz),0.11815833300352097,0.12783116102218628,0.009672828018665314
MCI,2,Delta (1–4 Hz),4.84555721282959,7.513317108154297,2.667759895324707
MCI,2,Theta (4–8 Hz),2.5893187522888184,2.856478214263916,0.26715946197509766
MCI,2,Alpha (8–13 Hz),2.1719069480895996,1.9748561382293701,-0.1970508098602295
MCI,2,Beta (13–30 Hz),1.0920445919036865,1.1042938232421875,0.012249231338500977
MCI,2,Gamma (30–40 Hz),0.5581560730934143,0.5662398338317871,0.008083760738372803
MCI,3,Delta (1–4 Hz),5.730777740478516,8.89691162109375,3.1661338806152344
MCI,3,Theta (4–8 Hz),2.8459551334381104,2.7460579872131348,-0.09989714622497559
MCI,3,Alpha (8–13 Hz),2.153364896774292,2.46799373626709,0.31462883949279785
MCI,3,Beta (13–30 Hz),0.8073984980583191,0.9955373406410217,0.18813884258270264
MCI,3,Gamma (30–40 Hz),0.5746011137962341,0.7428960204124451,0.16829490661621094
MCI,4,Delta (1–4 Hz),2.740571975708008,2.417651414871216,-0.322920560836792
MCI,4,Theta (4–8 Hz),2.7780349254608154,2.7569379806518555,-0.02109694480895996
MCI,4,Alpha (8–13 Hz),0.9279854893684387,1.0404101610183716,0.11242467164993286
MCI,4,Beta (13–30 Hz),0.3686350882053375,0.43250903487205505,0.06387394666671753
MCI,4,Gamma (30–40 Hz),0.07394562661647797,0.0657014325261116,-0.008244194090366364
MCI,5,Delta (1–4 Hz),3.0733351707458496,2.79491925239563,-0.2784159183502197
MCI,5,Theta (4–8 Hz),1.801825761795044,1.6267277002334595,-0.17509806156158447
MCI,5,Alpha (8–13 Hz),1.1547632217407227,1.0729122161865234,-0.08185100555419922
MCI,5,Beta (13–30 Hz),1.0128347873687744,0.9470683336257935,-0.06576645374298096
MCI,5,Gamma (30–40 Hz),0.25601717829704285,0.25232160091400146,-0.003695577383041382
MCI,6,Delta (1–4 Hz),12.13644790649414,5.098617076873779,-7.037830829620361
MCI,6,Theta (4–8 Hz),5.248308181762695,4.3700971603393555,-0.8782110214233398
MCI,6,Alpha (8–13 Hz),3.762810707092285,3.2505457401275635,-0.5122649669647217
MCI,6,Beta (13–30 Hz),1.9330015182495117,1.7111475467681885,-0.22185397148132324
MCI,6,Gamma (30–40 Hz),0.17719043791294098,0.15442946553230286,-0.022760972380638123
MCI,7,Delta (1–4 Hz),4.730879783630371,4.645209789276123,-0.08566999435424805
MCI,7,Theta (4–8 Hz),1.9685090780258179,1.953721046447754,-0.014788031578063965
MCI,7,Alpha (8–13 Hz),2.313101291656494,2.223134756088257,-0.0899665355682373
MCI,7,Beta (13–30 Hz),2.8454270362854004,2.988804817199707,0.14337778091430664
MCI,7,Gamma (30–40 Hz),0.3265025019645691,0.3663296103477478,0.03982710838317871
AD,1,Delta (1–4 Hz),19517.489141633614,75140.00005176237,55622.51091012875
AD,1,Theta (4–8 Hz),1263.4354252567791,4040.769814139329,2777.33438888255
AD,1,Alpha (8–13 Hz),327.5438070647072,589.5221523819586,261.97834531725135
AD,1,Beta (13–30 Hz),35.214068348669436,60.62699832789568,25.41292997922624
AD,1,Gamma (30–40 Hz),5.210167686766701,6.1058876831880955,0.8957199964213949
AD,2,Delta (1–4 Hz),3068470.284723184,869057.9116693271,-2199412.373053857
AD,2,Theta (4–8 Hz),303940.00763560354,10045.737712139067,-293894.26992346445
AD,2,Alpha (8–13 Hz),62097.685465337825,1498.0649041465622,-60599.62056119126
AD,2,Beta (13–30 Hz),6411.660587792481,287.5846302313975,-6124.075957561084
AD,2,Gamma (30–40 Hz),248.00143519519716,30.075639250907148,-217.92579594429
AD,3,Delta (1–4 Hz),94268.99900927741,68503.80437305415,-25765.194636223256
AD,3,Theta (4–8 Hz),10370.635215505496,5588.926854521838,-4781.708360983657
AD,3,Alpha (8–13 Hz),2381.678685001404,400.56553322663524,-1981.113151774769
AD,3,Beta (13–30 Hz),255.5473390871617,30.06858073162181,-225.4787583555399
AD,3,Gamma (30–40 Hz),8.93474581421995,1.717235125320197,-7.217510688899752
AD,4,Delta (1–4 Hz),3566977.9870047555,1363505.489231576,-2203472.49777318
AD,4,Theta (4–8 Hz),388296.6897109012,88078.78994163021,-300217.89976927097
AD,4,Alpha (8–13 Hz),119018.3583685901,8476.720077220778,-110541.63829136932
AD,4,Beta (13–30 Hz),14295.534341902387,633.6123246730117,-13661.922017229375
AD,4,Gamma (30–40 Hz),1086.257760629009,34.94748895001059,-1051.3102716789983
AD,5,Delta (1–4 Hz),33029.40369403665,82738.77127932367,49709.36758528702
AD,5,Theta (4–8 Hz),1318.455380907282,4752.305287645785,3433.849906738503
AD,5,Alpha (8–13 Hz),183.4839746930576,252.5005164048546,69.016541711797
AD,5,Beta (13–30 Hz),13.523297445985586,15.118535769947673,1.5952383239620875
AD,5,Gamma (30–40 Hz),1.2282112303838946,1.2178415359346138,-0.01036969444928082
AD,6,Delta (1–4 Hz),224758250.9309971,616716.7515018736,-224141534.17949522
AD,6,Theta (4–8 Hz),45323567.78893582,48779.61456817771,-45274788.17436764
AD,6,Alpha (8–13 Hz),7825403.898654828,6448.181688761501,-7818955.7169660665
AD,6,Beta (13–30 Hz),650162.0751797694,609.0076750976278,-649553.0675046718
AD,6,Gamma (30–40 Hz),44461.76559671734,26.614452405842545,-44435.1511443115
AD,7,Delta (1–4 Hz),578.77044566525,927.7454913532837,348.9750456880337
